Region,Country,DATE,Luma link,status,venue,image
APAC,"Base Batch Workshop - Swabi, Pakistan",April 24,https://lu.ma/4klsjlqa,confirmed,Ghulam Ishaq Khan Institute,/base-batches/apac.webp
W Africa,"Base Batch Workshop - Abuja, Nigeria",April 25,https://lu.ma/m0tqqe68,confirmed,Cafe One Abuja,/base-batches/africa.webp
E Africa,"Base Batch Workshop - Nairobi, Kenya",April 26,https://lu.ma/x3f1hsuo,confirmed,Rooftop Garden Sarit Center,/base-batches/africa.webp
W Africa,"Base Batch Workshop - Lagos, Nigeria",April 26,https://lu.ma/r7sjp801,confirmed,"Cafe One, Lekki",/base-batches/africa.webp
W Africa,"Base Batch Workshop - Accra, Ghana",April 26,https://lu.ma/prj5e77i,confirmed,AyaHQ Builder Hub,/base-batches/africa.webp
W Africa,"Base Batch Workshop - Enugu, Nigeria",April 26,https://lu.ma/vn46tr1q,confirmed,Cafe One Enugu,/base-batches/africa.webp
India,"Base Batch Workshop - Pune, India",April 26,https://lu.ma/z6kc12e7,confirmed,Bootstart Coworking Space,/base-batches/india.webp
LatAm,"Base Batch Workshop - Cartagena, Colombia",April 26,https://lu.ma/9pdvs76k,confirmed,Sociedad de Ingenieros y Arquitectos de Bolívar,/base-batches/latam.webp
APAC,"Base Batch Workshop - Hong Kong, China",April 26,https://lu.ma/ho312dt8,confirmed,Hong Kong University of Science and Technology,/base-batches/apac.webp
APAC,"Base Batch Workshop - Da Nang, Vietnam",April 27,https://lu.ma/ofkhuce6,check,The Local Beans / check date,/base-batches/apac.webp
India,"Base Batch Workshop - Mumbai, India",April 27,https://lu.ma/gphgvyb0,confirmed,"91Springboard Lotus, Andheri East",/base-batches/india.webp
India,"Base Batch Workshop - Bangalore, India",April 27,https://lu.ma/wtpmoz2q,confirmed,Zo House,/base-batches/india.webp
APAC,"Base Batch Workshop - Legazpie City, Philippines",May 1,https://lu.ma/sbp21elr,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Naga City, Philippines",May 2,https://lu.ma/x9jt1jcl,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Manila City, Philipines",May 2,https://lu.ma/za6cgxuo,confirmed,Adamson Uni,/base-batches/apac.webp
APAC,"Base Batch Workshop - Camarines, Philippines",May 3,https://lu.ma/aca2i1so,problem,no venue?,/base-batches/apac.webp
E Africa,"Base Batch Workshop - Dar Es Salaam, Tanzania",May 3,https://lu.ma/m6h1jipg,confirmed,University of Dar es salaam,/base-batches/africa.webp
E Africa,"Base Batch Workshop - Kisumu, Kenya",May 3,https://lu.ma/iijofm2s,problem,no venue?,/base-batches/africa.webp
India,"Base Batch Workshop - Delhi, India",May 3,https://lu.ma/y12r03ug,problem,no venue?,/base-batches/india.webp
EMEA,"Base Batch Workshop - Kyiv, Ukraine",May 3,https://lu.ma/i5tq6zu3,problem,no venue?,/base-batches/europe.webp
APAC,"Base Batch Workshop - Yogyakarta, Indonesia",May 3,https://lu.ma/tiiw11pg,confirmed,Kolektif Coworking Space & Collaboraction,/base-batches/apac.webp
E Africa,"Base Batch Workshop - Kigali, Rwanda",May 3,https://lu.ma/sfqpnz8c,problem,no venue?,/base-batches/africa.webp
N. America,"Base Batch Workshop - New York City, USA",May 4,https://lu.ma/vnv007mi,problem,DATE?? Variant office?,/base-batches/na.webp
E Africa,"Base Batch Workshop - Addis Ababa, Ethiopia",May 4,https://lu.ma/6bsuad99,problem,no venue?,/base-batches/africa.webp
APAC,"Base Batch Workshop - Jakarta, Indonesia",May 4,https://lu.ma/5g02dc9i,confirmed,Indodax - Pondok Indah,/base-batches/apac.webp
APAC,"Base Batch Workshop - Makati City, Philipines",May 5,https://lu.ma/nxjpfcrz,confirmed,BLOKCSPACE,/base-batches/apac.webp
LatAm,"Base Batch Workshop - Buenos Aires, Argentina",May 6,https://lu.ma/0hnv2178,confirmed,Concepción Live,/base-batches/latam.webp
LatAm,"Base Batch Workshop - São Paulo, Brazil",May 7,https://lu.ma/4oux3j9x,confirmed,Nouns House,/base-batches/latam.webp
APAC,"Base Batch Workshop - Seoul, Korea",May 7,https://lu.ma/icgc0png,confirmed,수호라운지,/base-batches/apac.webp
APAC,"Base Batch Workshop - Haripur, Pakistan",May 7,https://lu.ma/e3ifi9qs,confirmed,University of Haripur,/base-batches/apac.webp
N. America,"Base Batch Workshop - Austin, Texas, USA",May 7,https://lu.ma/agdiik4u,confirmed,Texas Saké Company,/base-batches/na.webp
APAC,"Base Batch Workshop - Davao City, Philippines",May 8,https://lu.ma/a3du5h7u,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Cebu, Philippines",May 8,https://lu.ma/ir4ogxqw,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Malolos City, Philippines",May 8,https://lu.ma/207cl9ag,problem,no venue? location?,/base-batches/apac.webp
EMEA,"Base Batch Workshop - Lisbon, Portugal",May 8,https://lu.ma/lisbon-base-workshop,confirmed,grow.inc SPACES Lisbon,/base-batches/europe.webp
EMEA,"Base Batch Workshop - Zug, Switzerland",May 8,https://lu.ma/6jghl0ts,confirmed,CV Labs Zug,/base-batches/europe.webp
LatAm,"Base Batch Workshop - Mexico City, Mexico",May 8,https://lu.ma/ysm3jaqt,confirmed,Openhub Coworking Condesa,/base-batches/latam.webp
E Africa,"Base Batch Workshop - Kampala, Uganda",May 9,https://lu.ma/jnoajxft,confirmed,Circular Design Hub Kampala,/base-batches/africa.webp
APAC,"Base Batch Workshop - Tagum, Philippines",May 9,https://lu.ma/1cgedaud,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Cebu, Philippines",May 9,https://lu.ma/4ivia8ww,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Angeles City, Philippines",May 9,https://lu.ma/tcq2edrl,problem,no venue?,/base-batches/apac.webp
EMEA,"Base Batch Workshop - Rome, Italy",May 9,https://lu.ma/foxtc7hr,confirmed,Urbe Hub,/base-batches/europe.webp
APAC,Base Batch Workshop - Singapore,May 9,https://lu.ma/tizh5u0t,problem,no venue?,/base-batches/apac.webp
E Africa,"Base Batch Workshop - Zanzibar, Tanzania",May 10,https://lu.ma/sy1k2af7,problem,no venue?,/base-batches/africa.webp
APAC,"Base Batch Workshop - Dasmariñas, Cavite, Philippines",May 10,https://lu.ma/gyikgs3i,confirmed,National University - Dasmariñas,/base-batches/apac.webp
APAC,"Base Batch Workshop - Panabu City, Philippines",May 10,https://lu.ma/a31zdj3u,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Cebu, Philippines",May 10,https://lu.ma/z7g7iz1u,problem,no venue?,/base-batches/apac.webp
APAC,"Base Batch Workshop - Balanga City, Philippines",May 10,https://lu.ma/dmx0g4oc,problem,no venue?,/base-batches/apac.webp
EMEA,"Base Batch Workshop - Istanbul, Türkiye",May 10,https://lu.ma/l0g71zi9,confirmed,Altcointurk | Base,/base-batches/europe.webp
EMEA,"Base Batch Workshop - Budapest, Hungary",May 10,https://lu.ma/0oaho8e3,confirmed,Guild - Z Gen Kibernetika Kft,/base-batches/europe.webp
APAC,"Base Batch Workshop - Bangkok, Thailand",May 10,https://lu.ma/1dy944t1,problem,no venue?,/base-batches/apac.webp